Film,Movie.Genre,Award,Year_of_Release,IMDB_Votes,IMDB.Rating,Movie.Time
Dances with Wolves,"Adventure,Drama,Western",Winner,1990,249524,8,181
Awakenings,"Biography,Drama",Nominee,1990,132136,7.8,121
Ghost,"Drama,Fantasy,Romance",Nominee,1990,204848,7.1,127
The Godfather Part III,"Crime,Drama",Nominee,1990,373892,7.6,162
Goodfellas,"Biography,Crime,Drama",Nominee,1990,1065109,8.7,146
The Silence of the Lambs,"Crime,Drama,Thriller",Winner,1991,1326186,8.6,118
Beauty and the Beast,"Animation,Family,Fantasy",Nominee,1991,427333,8,84
Bugsy,"Biography,Crime,Drama",Nominee,1991,27635,6.8,136
JFK,"Drama,History,Thriller",Nominee,1991,147893,8,189
The Prince of Tides,"Drama,Romance",Nominee,1991,17342,6.7,132
Unforgiven,"Drama,Western",Winner,1992,390280,8.2,130
